Record_ID,Tenure,Late_Payments,Revenue
R000001,29,0,14111.71
R000002,25,1,8357.82
R000003,4,4,4197.92
R000004,1,0,3342.01
R000005,53,2,10068.99
R000006,34,4,13649.99
R000007,5,0,13926.21
R000008,49,1,3649.1
R000009,59,1,568.24
R000010,56,2,9938.37
R000011,26,0,3902.51
R000012,39,7,11084.51
R000013,53,7,750.57
R000014,32,0,11094.48
R000015,13,7,11819.19
R000016,27,0,4057.0
R000017,29,0,4554.18
R000018,1,1,14662.71
R000019,8,3,11374.71
R000020,19,0,14268.65
R000021,1,0,2923.99
R000022,8,0,1397.58
R000023,42,1,9709.97
R000024,25,2,2763.05
R000025,54,1,448.61
R000026,44,2,1240.68
R000027,35,4,4966.81
R000028,56,1,7850.89
R000029,28,1,8883.93
R000030,1,3,1310.56
R000031,19,3,3983.36
R000032,39,3,12568.94
R000033,24,0,677.06
R000034,3,2,4912.56
R000035,37,4,9695.23
R000036,1,0,13123.56
R000037,20,0,13214.75
R000038,5,1,461.32
R000039,11,1,13593.67
R000040,53,0,12419.03
R000041,37,0,504.27
R000042,31,3,12595.25
R000043,39,1,10655.4
R000044,18,1,8274.63
R000045,17,0,11714.96
R000046,45,1,13005.4
R000047,13,2,3704.35
R000048,41,3,1291.61
R000049,38,2,6283.32
R000050,12,0,12300.66
R000051,20,1,11121.46
R000052,14,1,954.68
R000053,59,3,9752.72
R000054,57,7,7627.89
R000055,23,0,5823.25
R000056,58,5,3563.32
R000057,35,5,1815.57
R000058,2,1,352.56
R000059,17,3,6788.0
R000060,51,2,2497.55
R000061,42,0,713.69
R000062,33,3,8514.4
R000063,20,0,2253.76
R000064,17,8,2341.21
R000065,28,4,9260.21
R000066,18,4,1266.64
R000067,54,0,10673.0
R000068,9,1,14368.07
R000069,51,0,13172.5
R000070,45,0,3731.3
R000071,38,0,5271.11
R000072,31,3,12324.28
R000073,60,0,2819.92
R000074,55,5,5612.88
R000075,6,0,9298.18
R000076,24,4,3437.6
R000077,60,2,261.99
R000078,43,4,5136.33
R000079,24,6,4955.31
R000080,38,1,8981.11
R000081,23,2,13088.56
R000082,18,7,13847.97
R000083,7,3,9538.34
R000084,49,0,2313.49
R000085,4,0,3299.96
R000086,40,2,13931.33
R000087,6,0,8615.3
R000088,21,3,9878.07
R000089,38,1,5895.03
R000090,56,0,4282.36
R000091,20,0,14321.35
R000092,15,0,5816.62
