Record_ID,Tenure,Late_Payments,Revenue
R000001,55,1,5587.91
R000002,54,0,6914.37
R000003,36,0,5491.78
R000004,17,2,9334.74
R000005,26,0,11624.27
R000006,41,0,587.79
R000007,50,0,14051.61
R000008,48,0,10685.33
R000009,28,7,2647.06
R000010,18,0,2810.25
R000011,11,1,3085.79
R000012,52,5,13339.35
R000013,27,2,11617.09
R000014,3,1,2841.74
R000015,36,2,1062.48
R000016,33,0,4516.69
R000017,3,2,14281.54
R000018,8,0,1707.78
R000019,3,0,473.64
R000020,44,0,13691.78
R000021,12,3,4541.44
R000022,5,4,5587.66
R000023,7,1,13651.81
R000024,23,0,7392.08
R000025,42,0,6046.2
R000026,17,0,1526.74
R000027,36,3,7218.83
R000028,35,0,8567.47
R000029,44,1,7581.7
R000030,4,3,12062.4
R000031,7,4,7820.49
R000032,1,2,10523.25
R000033,30,0,13653.1
R000034,44,2,12675.94
R000035,47,2,2606.18
R000036,46,1,12812.33
R000037,14,0,14122.0
R000038,17,2,14973.58
R000039,50,3,6551.99
R000040,35,2,3514.95
R000041,54,3,7519.06
R000042,24,0,13811.66
R000043,32,0,4313.55
R000044,37,0,13520.65
R000045,50,1,14792.42
R000046,32,0,9109.77
R000047,56,0,11549.39
R000048,42,0,8079.7
R000049,8,0,9140.77
R000050,16,0,6827.36
R000051,54,0,14811.72
R000052,24,3,4714.55
R000053,12,4,4942.38
R000054,34,5,2521.73
R000055,38,6,2892.45
R000056,55,0,8217.03
R000057,28,2,4445.99
R000058,14,1,14851.87
R000059,38,3,8052.04
R000060,57,5,5249.22
R000061,9,1,6594.62
R000062,51,0,9742.47
R000063,43,1,11457.5
R000064,50,2,11352.06
R000065,32,1,6107.03
R000066,59,2,8648.55
R000067,29,3,4500.15
R000068,59,0,3417.19
R000069,33,3,10626.95
R000070,44,0,10754.87
R000071,13,1,8264.73
R000072,43,3,11998.69
R000073,4,0,7974.17
R000074,53,2,10115.38
R000075,28,4,7454.76
R000076,18,1,562.51
R000077,24,1,11933.79
R000078,37,3,340.9
R000079,18,0,4227.92
R000080,45,2,9905.69
R000081,20,0,10698.31
R000082,42,0,189.83
R000083,17,0,5876.43
R000084,50,2,6406.07
R000085,59,0,9899.11
R000086,19,1,2793.66
R000087,57,2,14212.1
R000088,45,0,429.91
R000089,15,1,1667.01
R000090,47,0,5841.14
R000091,55,0,8729.9
R000092,42,8,8333.81
R000093,7,0,8595.37
R000094,41,0,6882.57
R000095,50,1,2782.3
R000096,44,3,13053.09
R000097,32,7,1988.36
R000098,46,5,13167.01
R000099,32,0,2029.89
R000100,53,0,6614.61
